약국ID,주소,약국명,대표전화1,진료시간(월요일)C,진료시간(화요일)C,진료시간(수요일)C,진료시간(목요일)C,진료시간(금요일)C,진료시간(토요일)C,진료시간(일요일)C,진료시간(공휴일)C,진료시간(월요일)S,진료시간(화요일)S,진료시간(수요일)S,진료시간(목요일)S,진료시간(금요일)S,진료시간(토요일)S,진료시간(일요일)S,진료시간(공휴일)S,우편번호1,우편번호2,병원경도,병원위도,작업일시
C1101450,서울특별시 양천구 목동남로4길 32 (신정동),메디팜장약국,02-2645-7395,1930,1930,1930,1930,1930,1700,1800,2230,930,930,930,930,930,930,900,830,81,4,126.8660681,37.50882489,42:08.0
C1107236,서울특별시 강서구 마곡중앙5로 87 107호 (마곡동 우성르보아투),메디팜정다운약국,02-2664-1088,2200,2200,2200,2200,2200,1900,1800,2230,900,900,900,900,900,900,900,830,75,99,126.817776,37.56717384,42:08.0
C1104178,서울특별시 강남구 강남대로 256,메디팜정연약국,02-522-5925,2030,2030,2030,2030,2030,1700,1800,2230,830,830,830,830,830,830,900,830,62,66,127.033529,37.4864774,42:08.0
C1104666,서울특별시 강동구 천호대로 1200,메디팜정원약국,02-477-6126,2200,2200,2200,2200,2200,2000,1800,2230,900,900,900,900,900,900,900,830,53,61,127.1447852,37.53464144,42:08.0
C1102732,서울특별시 구로구 오리로 1270 (궁동),메디팜제일약국,02-2684-3804,1930,1930,1900,1900,1900,1300,1800,2230,900,900,900,900,900,900,900,830,82,56,126.8307333,37.49504722,42:08.0
C1103466,서울특별시 용산구 청파로 324 1층 (청파동1가),메디팜최약국,02-715-6009,2000,2000,2000,2000,2000,1600,1800,2230,830,830,830,830,830,900,900,830,43,1,126.9702291,37.54860601,42:08.0
C1104400,서울특별시 도봉구 도봉로 488,메디팜큰사랑약국,02-907-7582,2100,2100,2100,2100,2100,2100,2100,2100,900,900,900,900,900,900,900,900,14,54,127.0352682,37.64899652,42:08.0
C1103620,서울특별시 강서구 강서로 293-1 (내발산동),메디팜푸른약국,02-2661-2001,1830,1830,1830,1830,1830,1400,2100,2100,900,900,900,900,900,900,900,900,76,39,126.8360035,37.55202959,42:08.0
C1107283,서울특별시 성동구 무학로 33,메디팜푸른약국,02-6015-2500,2030,2030,2030,2030,2030,1700,2100,2100,900,900,900,900,900,900,900,900,47,2,127.0261429,37.56768041,42:08.0
C1101490,서울특별시 송파구 동남로 189 가락쌍용아파트 101호 (가락동),메디팜푸른약국,02-400-4201,2000,2000,2000,2000,2000,1900,2100,2100,900,900,900,900,900,900,900,900,58,23,127.1298772,37.49466877,42:08.0
C1101492,서울특별시 송파구 송파대로 365 (석촌동),메디팜하나약국,02-2202-7109,2000,2000,2000,2000,2000,1800,1300,2100,800,800,800,800,800,800,900,900,56,97,127.1110863,37.50040436,42:08.0
C1101493,서울특별시 강북구 오현로32길 3 (번동),메디팜한마음약국,02-988-0247,2030,2030,2030,2030,2030,1830,1300,2100,900,900,900,900,900,900,900,900,12,24,127.0397111,37.62873333,42:08.0
C1101495,서울특별시 성동구 행당로 84 132호 (행당동 행당한진타운종합상가),메디팜한솔약국,02-2282-7948,2000,2000,2000,2000,2000,2000,1300,2100,900,900,900,900,900,900,900,900,47,17,127.0287465,37.55656749,42:08.0
C1102702,서울특별시 성동구 성수일로 39,메디팜호정약국,02-461-0245,2000,2000,2000,2000,2000,1700,1300,2100,900,900,900,900,900,900,900,900,47,79,127.0493456,37.54414304,42:08.0
C1101499,서울특별시 강남구 강남대로 242 1층(도곡동 크리스탈빌딩),메디피아약국,02-3463-1547,2200,2200,2200,2200,2200,2200,1300,1800,830,830,830,830,830,830,900,1000,62,67,127.0340831,37.48537243,42:08.0
C1103111,서울특별시 중구 소공로 지하 58 화-2호 (충무로1가),메디홈약국,02-753-2129,1830,1830,1830,1830,1830,1600,1300,1800,900,900,900,900,900,900,900,1000,45,35,126.9820545,37.56107172,42:08.0
C1104614,서울특별시 서초구 고무래로 32 반포트라이엄프메딕스빌딩 107호 (반포동),메딕스약국,02-537-0671,1900,1900,1900,1900,1900,1500,1300,1800,830,830,830,830,830,830,900,1000,65,99,127.0119849,37.50243257,42:08.0
C1103393,서울특별시 강남구 남부순환로 2941 101호 (대치동),메타팜약국,02-566-2268,1900,1900,1900,1900,1900,1700,1300,1800,900,900,900,900,900,830,900,1000,62,80,127.0621099,37.49427967,42:08.0
C1109205,서울특별시 송파구 송파대로 지하 82 장지역 지하1층 819-102호 (장지동),메트로약국,02-000-0000,2000,2000,2000,2000,2000,1600,1600,1600,800,800,800,800,800,1000,1000,1000,58,16,127.1264242,37.47811921,42:08.0
C1102728,서울특별시 강남구 언주로30길 13  (도곡동 대림아크로빌 대림아크로텔),메트로약국,02-529-2304,2100,2100,2100,2100,2100,2100,1600,1600,930,930,930,930,930,930,1000,1000,62,92,127.0506742,37.48814158,42:08.0
C1104631,서울특별시 성북구 보국문로 53 (정릉동),멜론약국,02-942-2712,1900,1900,1900,1900,1900,1700,1600,1600,900,900,900,900,900,900,1000,1000,27,9,127.0095089,37.6092643,42:08.0
C1108213,서울특별시 중랑구 사가정로 404-6 1층지층 (면목동),면목그랜드약국,02-435-8447,2000,2000,1900,2000,2000,1700,1600,1600,900,900,900,900,900,900,1000,1000,22,50,127.0892963,37.58031269,42:08.0
C1101466,서울특별시 중랑구 용마산로 328 (면목동),면목백화점약국,02-2207-4636,2230,2230,2230,2230,2230,2230,2100,2100,900,900,900,900,900,900,1000,1000,21,96,127.0935722,37.58101389,42:08.0
C1108892,서울특별시 중랑구 겸재로 194 (면목동),면목약국,02-2209-5955,2100,2100,2100,2100,2100,1600,2100,1300,900,900,900,900,900,900,1000,900,131,200,127.0890777,37.58851333,42:08.0
C1103478,서울특별시 강서구 양천로 460,가양종로약국,02-2659-2356,2030,2030,2030,2030,2030,1730,1900,1900,900,900,900,900,900,900,900,900,75,75,126.8517168,37.56258566,42:04.0
C1101468,서울특별시 중랑구 겸재로 121 (면목동),면목종로약국,02-439-3161,1900,1900,1900,1900,1900,1500,2100,1300,900,900,900,900,900,900,1000,900,21,47,127.0813375,37.5871894,42:08.0
C1108274,서울특별시 중구 남대문로7길 11 1층 (소공동),명동명약국,02-779-5395,2130,2130,2130,2130,2130,2130,2130,2130,930,930,930,930,930,930,930,930,45,32,126.9812519,37.56369098,42:08.0
C1108610,서울특별시 중구 남대문로 68 5층 (명동2가),명동모모약국,02-318-6803,1930,1930,1930,1930,1930,1530,2130,2130,1100,1100,1100,1100,1100,1100,930,930,45,35,126.9822662,37.56311089,42:08.0
C1103887,서울특별시 중구 퇴계로 109 (충무로1가),명동사랑약국,02-778-9975,2000,2000,2000,2000,2000,1600,2130,2130,930,930,930,930,930,930,930,930,45,36,126.9838476,37.56098657,42:08.0
C1103640,서울특별시 중구 퇴계로 123,명동약국,02-2079-0825,1900,1900,1900,1900,1900,1700,2130,2130,1000,1000,1000,1000,1000,1000,930,930,45,36,126.9853548,37.56133171,42:08.0
C1102692,서울특별시 성동구 고산자로 164,명동온누리약국,02-2281-7292,1930,1930,1930,1930,1930,1600,2130,2130,900,900,900,900,900,900,930,930,47,46,127.0347397,37.55488066,42:08.0
C1101469,서울특별시 중구 소공로 64 A-102(충무로1가동남도서빌딩),명동중앙약국,02-777-0505,1950,1950,1950,1950,1950,1630,2130,2130,830,830,830,830,830,830,930,930,45,35,126.9820583,37.56101667,42:08.0
C1101470,서울특별시 중구 남대문로 68 3층 (명동2가),명동천사약국,02-755-1005,1830,1830,1830,1830,1830,1300,2130,2130,930,930,930,930,930,930,930,930,45,35,126.9857806,37.55993343,42:08.0
C1107601,서울특별시 중구 명동9길 23 1층 102호 (을지로2가),명동하이약국,070-4140-8275,2000,2000,2000,2000,2000,1200,2300,2300,900,900,900,900,900,900,1200,1000,45,34,126.9844933,37.56489158,42:08.0
C1102693,서울특별시 종로구 성균관로 56-1 (명륜1가),명륜시장약국,02-747-3443,2000,2000,2000,2000,2000,2000,1900,2300,830,830,830,830,830,830,900,1000,30,69,126.9966861,37.58767778,42:08.0
C1101484,서울특별시 금천구 시흥대로 225 104105호 (시흥동),명문당약국,02-803-3443,2130,2130,2130,2130,2130,2200,1900,2130,1530,1530,1530,1530,1530,900,900,1530,86,32,126.900734,37.45509106,42:08.0
C1101487,서울특별시 강남구 양재대로55길 6  (일원동),명문약국,02-459-3312,1800,1800,1800,1800,1800,1800,1900,2130,1000,1000,1000,1000,1000,900,900,1530,63,41,127.0883128,37.49131982,42:08.0
C1103728,서울특별시 강서구 허준로 175  (가양동 가양6단지아파트),명문약국,02-2659-7374,1930,1930,1930,1930,1930,1700,1900,2130,900,900,900,900,900,900,900,1530,75,31,126.8583308,37.56281011,42:08.0
C1109234,서울특별시 도봉구 우이천로 300(쌍문동),명문약국,02-995-5941,1800,1800,1800,1800,1800,1700,1900,2130,850,850,850,850,850,900,900,1530,14,52,127.0291328,37.64454427,42:08.0
C1101864,서울특별시 서대문구 연희로36길 10 1층 (연희동),명문약국,02-332-5677,1900,1900,1900,1900,1900,1300,1900,2130,900,900,900,900,900,900,900,1530,37,18,126.9365903,37.57863916,42:08.0
C1104292,서울특별시 송파구 마천로41길 20 1층 (마천동),명문약국,02-400-8216,2100,2100,2100,2100,2100,1600,1900,2130,900,900,900,900,900,900,900,1530,57,56,127.1496071,37.49701733,42:08.0
C1100069,서울특별시 동대문구 사가정로 225 1층 (장안동),명문온누리약국,02-2212-8881,2000,2000,2000,2000,2000,1800,1900,2130,900,900,900,900,900,900,900,1530,25,18,127.0701171,37.57894171,42:08.0
C1102681,서울특별시 금천구 시흥대로 92 (시흥동),명보약국,02-803-2384,2000,2000,2000,2000,2000,1800,1900,2130,900,900,900,900,900,900,900,1530,86,52,126.903959,37.44232222,42:08.0
C1104204,서울특별시 도봉구 노해로 384 2층 203-1호,명산약국,02-908-8122,2000,2000,2000,2000,2000,1600,1300,2130,900,900,900,900,900,900,900,1530,14,16,127.0510029,37.65194239,42:08.0
C1102811,서울특별시 강동구 구천면로 424 115호 (명일동 명일메카타운),명성그린약국,02-428-6267,2000,2000,2000,2000,2000,1700,2200,2130,830,830,830,830,830,830,1400,1530,52,92,127.1457747,37.55025262,42:08.0
C1101462,서울특별시 영등포구 도림로 152-4 (대림동),명성약국,02-836-0206,1830,1830,1830,1830,1830,1400,2200,2130,730,730,730,730,730,900,1400,1530,74,17,126.8988387,37.49356923,42:08.0
C1102130,서울특별시 광진구 광나루로 538  (구의동),명성약국,02-444-7848,2100,2100,2100,2100,2100,2100,2200,2130,900,900,900,900,900,900,1400,1530,50,32,127.0893851,37.54467144,42:08.0
C1109365,서울특별시 관악구 신림로 350 5층 (신림동 서원프라자 태영아파트),5층엔약국,02-877-3080,1830,1830,1830,1830,1830,1400,1330,2000,830,830,830,830,830,830,830,900,87,54,126.9299488,37.48550722,42:03.0
C1101464,서울특별시 마포구 월드컵로 87,명성약국,02-332-4603,2200,2200,2200,2200,2200,2200,2200,2130,830,830,830,830,830,830,1400,1530,40,12,126.9093074,37.55648192,42:08.0
C1102982,서울특별시 관악구 관악로 231-1 (봉천동),명성프라자약국,02-888-8978,2050,2050,2050,2050,2050,2000,2200,2130,900,900,900,900,900,900,1400,1530,87,44,126.9555985,37.48534836,42:08.0
C1102648,서울특별시 성북구 돌곶이로 28 1층 (석관동),명소약국,02-965-0237,2100,2100,2100,2100,2100,2030,2100,2130,840,840,840,840,840,840,900,1530,27,85,127.0611367,37.60704459,42:08.0
C1104549,서울특별시 동작구 서달로 151 (흑석동),명수대약국,02-813-2558,2100,2100,2100,2100,2100,2100,2000,2130,900,900,900,900,900,900,1000,1530,69,73,126.9615369,37.50697001,42:08.0
C1102649,서울특별시 금천구 시흥대로138길 13,명수약국,02-854-6846,2200,2200,2200,2200,2200,2100,2000,2130,1100,1100,1100,1100,1100,900,1000,1530,85,44,126.8993219,37.47284683,42:08.0
C1104627,서울특별시 서대문구 증가로 84 1층 103호 (연희동),명신당약국,02-335-2313,1800,1800,1800,1800,1800,1800,2000,2130,900,900,900,900,900,900,1000,1530,36,95,126.918949,37.56872103,42:08.0
C1107607,서울특별시 금천구 탑골로 18,명신약국,02-807-8767,2100,2100,2100,2100,2100,2200,2000,2130,900,900,900,900,900,900,1000,1530,86,57,126.9111822,37.45176149,42:08.0
C1103776,서울특별시 성북구 종암로 180 (하월곡동),명신약국,02-912-0723,1900,1900,1900,1900,1900,1600,2000,2130,900,900,900,900,900,900,1000,1530,27,39,127.0316186,37.60579804,42:08.0
C1103558,서울특별시 강남구 개포로 207  (개포동),명심약국,02-575-5867,2200,2200,2200,2200,2200,2200,2000,2130,830,830,830,830,830,830,1000,1530,63,3,127.0452925,37.47854842,42:08.0
C1108573,서울특별시 송파구 거마로 62 효명빌딩 1층 (마천동),명약국,02-407-8374,2100,2100,2100,2100,2100,1700,2000,2130,900,900,900,900,900,900,1000,1530,57,55,127.1470179,37.49841894,42:08.0
C1101859,서울특별시 동대문구 망우로18나길 3,명약국,02-2246-7471,1830,1830,1830,1830,1830,1500,2000,2130,1000,1000,1000,1000,1000,1000,1000,1530,24,98,127.060573,37.58734937,42:08.0
C1102650,서울특별시 금천구 시흥대로 473 (독산동),명약국,02-851-5672,2000,2000,2000,2000,2000,1600,2000,2130,900,900,900,900,900,900,1000,1530,85,31,126.8980597,37.4759935,42:08.0
C1107705,서울특별시 중구 남대문로9길 51 효덕빌딩 5층 (을지로1가),명약국,02-3789-0624,1830,1830,1830,1830,1830,1130,2000,2130,900,900,900,900,900,930,1000,1530,45,23,126.9795035,37.56681534,42:08.0
C1101853,서울특별시 광진구 아차산로 532 101호(광장동진넥스빌딩),명약국,02-456-6155,1900,1900,1900,1900,1900,1500,2000,2130,800,800,800,800,800,800,1000,1530,49,74,127.1004577,37.54235374,42:08.0
C1102679,서울특별시 강남구 압구정로 212  (신사동),명옥약국,02-543-3751,2030,2030,2030,2030,2030,1600,2100,2130,830,830,830,830,830,900,1000,1530,60,22,127.0304596,37.52783959,42:08.0
C1108777,서울특별시 서대문구 신촌로35길 10 117호 (북아현동 e편한세상신촌 4단지),명음약국,02-313-2208,1930,1930,1930,1930,1930,1500,2100,2130,900,900,900,900,900,900,1000,1530,37,72,126.9559728,37.55864165,42:08.0
C1109274,서울특별시 강동구 명일로 270 1층 (길동),명일로약국,02-488-2288,2000,2000,2000,2000,2000,1400,2100,2130,900,900,900,900,900,900,1000,1530,53,0,127.1477538,37.54260011,42:08.0
C1101861,서울특별시 강동구 고덕로 276 지하1층 (명일동 이마트명일점),명일마트종로약국,02-428-7845,2230,2230,2230,2230,2230,2230,2100,2230,1000,1000,1000,1000,1000,1000,1000,1000,52,69,127.1559597,37.55470504,42:08.0
C1103392,서울특별시 강동구 동남로73길 26 (명일동),명일보룡약국,02-426-4466,1850,1850,1850,1850,1850,1450,2100,2230,930,930,930,930,930,930,1000,1000,52,69,127.154785,37.55329802,42:08.0
C1102812,서울특별시 강동구 양재대로 1626 202호 (명일동),명일약국,02-3427-2283,1900,1900,1900,1900,1900,1400,2100,2230,900,900,900,900,900,900,1000,1000,52,92,127.1443547,37.55067875,42:08.0
C1101547,서울특별시 강동구 구천면로 428 204호 (명일동센트로빌),명일정원약국,02-442-0082,1900,1900,1900,1900,1900,1500,2100,2230,900,900,900,900,900,900,1000,1000,52,92,127.1461598,37.55015552,42:08.0
C1104553,서울특별시 서대문구 홍은중앙로7길 2 (홍은동),명지약국,02-394-3960,1500,1500,1500,1500,1500,1500,2100,2230,900,900,900,900,900,900,1000,1000,36,3,126.9477014,37.5992449,42:08.0
C1101931,서울특별시 용산구 신흥로36길 3 (후암동),명진약국,02-778-4365,2100,2100,2100,2100,2100,2100,2100,2230,900,900,900,900,900,900,900,1000,43,37,126.9817541,37.54660093,42:08.0
C1107986,서울특별시 강서구 마곡중앙로 161-17 보타닉파크타워Ⅰ 110호 (마곡동),명진팜약국,02-6326-7353,2200,2200,2200,2200,2200,1800,1800,2230,900,900,900,900,900,1100,1100,1000,77,88,126.8259599,37.56805835,42:08.0
C1101823,서울특별시 마포구 임정로15길 13 (신공덕동),명치약국,02-712-1678,2030,2030,2030,2030,2030,2030,1800,2230,900,900,900,900,900,900,1100,1000,41,90,126.9572365,37.54333298,42:08.0
C1108486,서울특별시 강남구 테헤란로 120 상경빌딩 1층 (역삼동),모건약국,02-554-5679,2100,2100,2100,2100,2000,1700,1800,2230,900,900,900,900,900,900,1100,1000,62,33,127.0308548,37.49858929,42:08.0
C1106977,서울특별시 서초구 강남대로 341,모닝온누리약국,070-7767-6407,1940,1940,1940,1940,1940,1430,1800,2230,900,900,900,900,900,900,1100,1000,66,26,127.0293328,37.49325211,42:08.0
C1109422,서울특별시 강남구 테헤란로 지하 156 B2층 219호 (역삼동),모두약국,02-508-0429,2200,2200,2200,2200,2200,1800,1600,2230,800,800,800,800,800,1000,1000,1000,62,36,127.0366182,37.50071627,42:08.0
C1108082,서울특별시 관악구 남부순환로 1869 1층 (봉천동),모두온누리약국,02-875-5955,1400,1400,1400,1400,1400,1400,1600,2230,900,900,900,900,900,930,1000,1000,87,39,126.9575305,37.47968615,42:08.0
C1103948,서울특별시 중구 서소문로 116 유원빌딩 지하1층 (서소문동),모드니약국,02-752-9202,2000,2000,2000,2000,2000,1400,1600,2230,800,800,800,800,800,930,1000,1000,45,13,126.9740312,37.56276654,42:08.0
C1101825,서울특별시 서대문구 수색로 38 (남가좌동),모래내백화점약국,02-305-0264,2100,2100,2100,2100,2100,2000,1600,2230,900,900,900,900,900,900,1000,1000,37,12,126.9144789,37.56980989,42:08.0
C1107920,서울특별시 서대문구 수색로 34 1층 (남가좌동),모래내약국,02-307-1688,2000,2000,2000,2000,2000,1900,1900,2230,900,900,900,900,900,900,1000,1000,37,12,126.9149409,37.56959038,42:08.0
C1101827,서울특별시 서대문구 증가로 129 (남가좌동),모범약국,02-372-9139,2200,2200,2200,2200,2200,2200,2200,2130,900,900,900,900,900,830,1400,1500,36,92,126.9232416,37.57727254,42:08.0
C1101829,서울특별시 송파구 백제고분로 258 삼전원빌딩 (삼전동),모범약국,02-415-9273,2100,2100,2100,2100,2100,2100,1900,2130,900,900,900,900,900,900,1000,1500,55,84,127.0950434,37.50229606,42:08.0
C1102854,서울특별시 구로구 새말로 97 신도림테크노마트 지하1층 BS026호 (구로동),모스팜약국,02-2111-1222,2100,2100,2100,2100,2100,2000,1900,2000,1000,1000,1000,1000,1000,1000,1000,1200,82,88,126.8902274,37.50704418,42:08.0
C1102627,서울특별시 중랑구 면목로 303  (면목동),무궁화약국,02-2207-6709,2200,2200,2200,2200,2200,2200,2100,2200,900,900,900,900,900,900,830,900,22,39,127.0872207,37.57949446,41:56.0
C1104537,서울특별시 양천구 남부순환로59길 9 (신월동),모아약국,02-2603-0948,2030,2030,2030,2030,2030,1800,1900,2000,900,900,900,900,900,900,1000,1200,79,20,126.8322384,37.53232667,42:08.0
C1108856,서울특별시 성북구 화랑로11길 23 1층 (하월곡동),모아약국,02-942-4534,2030,2030,2030,2030,2030,2000,1900,2000,900,900,900,900,900,900,1000,1200,27,51,127.0416787,37.60341297,42:08.0
C1107691,서울특별시 서초구 성촌길 34 지하1층 (우면동 (주)삼성전자서울R&D캠퍼스),모아약국,02-576-0212,1830,1830,1830,1830,1830,2000,1900,2000,830,830,830,830,830,900,1000,1200,67,65,127.0242671,37.46620136,42:08.0
C1108803,서울특별시 강동구 고덕로 390 고덕아르테온아파트(상가1동) 2층 204호 (상일동),모주현약국,070-7808-3323,1830,1830,1830,1830,1830,1300,1900,2000,830,830,830,830,830,830,1000,1200,52,74,127.1687802,37.55662641,42:08.0
C1101514,서울특별시 양천구 목동로27길 6 1층 (신정동),목동건강약국,02-2692-8880,1800,1800,1800,1800,1800,1400,1900,2000,900,900,900,900,900,900,1000,900,79,37,126.8632405,37.52865452,42:08.0
C1109123,서울특별시 강서구 곰달래로 272 1층 103호 (화곡동),목동메디약국,02-2062-0091,2100,2100,2100,2100,2100,2100,2100,2000,900,900,900,900,900,900,1200,900,77,86,126.8631753,37.53218691,42:08.0
C1101516,서울특별시 양천구 목동동로 430 (목동),목동벧엘약국,02-2643-7676,2000,2000,2000,2000,2000,1300,2100,2000,830,830,830,830,830,830,1200,900,79,86,126.8849787,37.53671429,42:08.0
C1104514,서울특별시 양천구 목동동로12길 45,목동세계로약국,02-2644-4680,2100,2100,2100,2100,2100,2100,2100,2100,900,900,900,900,900,900,900,900,158,51,126.876951,37.52249923,42:08.0
C1101519,서울특별시 양천구 목동중앙북로 27,목동세명약국,02-2645-7525,2130,2130,2130,2130,2130,2130,2000,2000,900,900,900,900,900,900,1100,1100,79,46,126.8664927,37.54827415,42:08.0
C1108679,서울특별시 양천구 신월로 170 1층 (신월동),목동센트럴약국,02-6448-1303,2000,2000,2000,2000,2000,1500,2000,2000,900,900,900,900,900,900,1100,1100,80,64,126.8424754,37.51815982,42:08.0
C1102624,서울특별시 양천구 오목로 232 112호 (신정동 보성상가),목동약국,02-2697-0543,1900,1900,1900,1900,1900,1600,2000,2000,900,900,900,900,900,900,1100,1100,80,22,126.8632063,37.52576425,42:08.0
C1101521,서울특별시 양천구 목동동로 435 1층 105호 (목동),목동정문약국,02-2061-0214,1900,1900,1900,1900,1900,1600,2000,2000,800,800,800,800,800,800,1100,1100,79,84,126.8848581,37.53739926,42:08.0
C1101542,서울특별시 양천구 목동로 210,목동즐거운약국,02-2644-3903,2000,2000,2000,2000,2000,1600,2000,2000,930,930,930,930,930,930,1100,1100,79,93,126.8644173,37.5272534,42:08.0
C1108887,서울특별시 양천구 목동서로 155 목동파라곤 지하1층 7호 (목동),목동파라곤약국,02-2648-6584,1900,1900,1900,1900,1900,1600,2000,2000,830,830,830,830,830,930,1100,1100,79,97,126.875072,37.52999562,42:08.0
C1103233,서울특별시 양천구 목동남로4길 2 118~123호(신정동),목동한미약국,02-2649-8367,2100,2100,2100,2100,2100,2100,2100,2100,800,800,800,800,800,800,900,900,81,4,126.86454,37.50823209,42:08.0
C1108628,서울특별시 양천구 목동동로 309 지하1층 (목동),목동행복한약국,02-6952-5777,2200,2200,2200,2200,2200,2200,2200,2200,1000,1000,1000,1000,1000,1000,1000,1000,79,97,126.8760086,37.52914353,42:08.0
C1109571,서울특별시 중구 만리재로 175 402동 1층 402-1-다호 (만리동2가),목화약국,02-393-9117,2000,2000,2000,2000,2000,1800,2200,2200,900,900,900,900,900,900,1000,1000,45,0,126.9644582,37.55478004,42:08.0
C1103093,서울특별시 강서구 등촌로5길 5 (화곡동),목화약국,02-2646-1412,2100,2100,2100,2100,2100,1900,2200,2200,900,900,900,900,900,900,1000,1000,77,41,126.8633657,37.53323805,42:08.0
C1101544,서울특별시 강남구 양재대로55길 11 1층 (일원동),목화약국,02-2226-2268,1930,1930,1930,1900,1900,1700,2200,2200,900,900,900,900,900,900,1000,1000,63,42,127.0876662,37.49153294,42:08.0
C1107134,서울특별시 노원구 한글비석로 77 한성여객(주) (하계동),무궁화약국,02-971-0072,2200,2200,2200,2200,2200,2200,2200,2200,900,900,900,900,900,900,900,900,17,90,127.0704667,37.63755987,42:08.0
C1101674,서울특별시 중구 창경궁로1길 38 무릉약국 (충무로4가),무릉약국,02-2268-9443,2100,2100,2100,2100,2100,1900,2200,2200,900,900,900,900,900,900,900,900,45,58,126.9963374,37.56252112,42:08.0
C1101708,서울특별시 금천구 시흥대로 406 (독산동),무림약국,02-858-7138,2100,2100,2100,2100,2100,2100,2200,2200,900,900,900,900,900,900,900,900,85,76,126.8984556,37.46966389,42:08.0
C1101710,서울특별시 서대문구 연희로 407 연희8빌딩 1층 (홍은동),무악메디칼약국,02-723-3017,2000,2000,2000,2000,2000,1430,2200,2200,900,900,900,900,900,900,900,900,36,47,126.9401933,37.59108556,42:08.0
C1109561,서울특별시 강남구 일원로 45 대훈빌딩 1층 (일원동),무지개삼성약국,02-2226-5467,1900,1900,1900,1900,1900,1300,2200,2200,900,900,900,900,900,900,900,900,63,43,127.0815134,37.48990463,42:08.0
C1103614,서울특별시 광진구 뚝섬로 498-1 AB동 1층 (자양동),무지개약국,02-462-8604,2200,2200,2200,2200,2200,2200,2200,2200,900,900,900,900,900,900,900,900,50,85,127.0656653,37.53591264,42:08.0
C1102746,서울특별시 양천구 등촌로 214 (목동),무지개약국,02-2643-5511,1900,1900,1900,1900,1900,1600,1430,2200,830,830,830,830,830,830,1030,900,79,50,126.863702,37.5486212,42:08.0
C1107465,서울특별시 영등포구 선유로 76 동국메뜨리앙 3층 305호 (문래동3가),무지개약국,02-3280-2388,1900,1900,1900,1600,1900,1500,1430,2200,900,900,900,900,900,900,1030,900,72,94,126.8899064,37.52064906,42:08.0
C1101712,서울특별시 강동구 진황도로61길 42 104호 (둔촌동 둔촌동주상복합),무지개약국,02-483-4649,1930,1930,1930,1930,1930,1200,1430,2200,840,840,840,840,840,840,1030,900,53,69,127.1454206,37.52847344,42:08.0
C1102807,서울특별시 도봉구 도봉로 471  (쌍문동),무지개온누리약국,02-991-8427,2000,2000,2000,2000,2000,2000,1430,2200,830,830,830,830,830,830,1030,900,14,47,127.0338927,37.64782272,42:08.0
C1100084,서울특별시 노원구 화랑로 325 (월계동),무지개온누리약국,02-909-0889,2030,2030,2030,2030,2030,1800,1430,2200,830,830,830,830,830,830,1030,900,19,4,127.0640527,37.61490912,42:08.0
C1102622,서울특별시 영등포구 영등포로 118 성지빌딩 1층 12호 (당산동2가),문래건강한약국,02-2633-0696,2000,2000,2000,2000,2000,1500,1430,2200,900,900,900,900,900,900,1030,900,72,91,126.8946293,37.5213093,42:08.0
C1102108,서울특별시 관악구 양녕로 34 (봉천동),문박사약국,02-873-8652,2000,2000,2000,2000,2000,2000,1430,2200,900,900,900,900,900,900,1030,900,87,47,126.9469489,37.4850771,42:08.0
C1103391,서울특별시 금천구 독산로64길 39,문성당약국,02-804-5360,2100,2100,2100,2100,2100,2100,2100,2100,900,900,900,900,900,900,900,900,85,60,126.9045447,37.46587747,42:08.0
C1102722,서울특별시 용산구 독서당로 67,문약국,02-793-2296,2200,2200,2200,2200,2200,2100,2100,2100,900,900,900,900,900,900,900,900,44,19,127.008129,37.53383436,42:08.0
C1109003,서울특별시 송파구 송파대로 98 선도빌딩 1층 (문정동),문정건강약국,02-404-6190,1900,1900,1900,1900,1900,1400,2100,2100,900,900,900,900,900,900,900,900,58,17,127.1261818,37.47969902,42:08.0
C1101606,서울특별시 송파구 동남로4길 25 금천빌딩 (문정동),문정약국,02-402-1424,2100,2100,2100,2100,2100,1800,2100,2100,930,930,930,930,930,930,900,900,58,3,127.1249087,37.48798865,42:08.0
C1107726,서울특별시 송파구 송파대로 167 문정역테라타워 지하1층 G132호 (문정동),문정온누리약국,02-2054-3551,2000,2000,2000,2000,2000,1400,2100,2100,900,900,900,900,900,1000,900,900,58,55,127.1209314,37.48466312,42:08.0
C1107764,서울특별시 송파구 법원로 114 엠스테이트 C-218호 (문정동),문정우리들약국,02-2283-1522,2100,2100,2100,2100,2100,1600,1600,1600,900,900,900,900,900,900,1000,1000,58,54,127.1210105,37.4860542,42:08.0
C1107753,서울특별시 송파구 법원로 114 엠스테이트 C동 214호 (문정동),문정이화약국,02-2283-1153,2000,2000,2000,2000,2000,1600,1600,1600,900,900,900,900,900,900,900,900,58,54,127.1210105,37.4860542,42:08.0
C1103091,서울특별시 양천구 지양로3길 10-1 (신월동),문화약국,02-2602-5602,2100,2100,2100,2100,2100,1900,1600,1600,900,900,900,900,900,900,900,900,80,42,126.8357667,37.51863641,42:08.0
C1108179,서울특별시 양천구 신월로 341 4층 (신정동),미그린약국,02-6713-9959,1900,1900,2000,1900,1900,1400,1600,1600,930,930,930,930,930,900,900,900,80,27,126.8588363,37.52201436,42:08.0
